Market,Year,Month,Total Orders,Analog Total,Digital Total,Analog Auto,Digital Auto,Modification Analog,Modification Digital,Cancellation Analog,Cancellation Digital,Digitizable Orders,Modification Digitizable,Cancellation Digitizable,HTCreate,HTCancel,HTModify,HTOther,HTOManage,HTDManage
DOTHAN,2026,4,1090,1067,23,0,0,542,0,239,0,393,143,60,47128,1186,6108,2,152994,1999
MIAMI,2025,12,1704,1704,0,0,0,1153,0,738,0,1372,887,489,71190,20251,171054,0,255122,183096
DOTHAN,2025,8,1177,1143,34,0,0,522,0,304,0,386,139,60,62876,2107,13801,0,163676,6771
SOUTH CA,2026,2,3632,2373,1259,1547,1006,2296,171,974,366,2913,1902,859,545558,76669,383712,0,755297,609
PANAMA CITY,2026,4,751,751,0,0,0,403,0,205,0,470,202,74,21615,1536,4059,0,86780,68780
NORTH AL,2025,7,1730,1713,17,0,0,1639,0,227,0,508,481,79,238488,6996,103319,34,344936,0
DEMOPOLIS,2026,2,232,232,0,0,0,210,0,44,0,48,48,11,31884,3478,13201,0,7263,2015
SAN ANTONIO,2026,5,650,253,397,176,317,445,53,119,140,548,412,180,724,2325,3781,0,17857,8024
DEMOPOLIS,2025,11,158,147,11,0,0,131,6,29,11,32,32,19,29960,1774,12376,0,11771,1725
MIAMI,2025,11,1532,1532,0,0,0,903,0,600,0,1138,702,366,61427,19948,170892,0,258513,197744
NORTH CA,2025,8,3861,3004,857,2,194,2441,76,1249,274,3097,2067,1211,573072,56539,533112,0,1119537,351703
SOUTHWEST,2025,9,5908,4086,1822,2716,1604,3424,315,1232,392,5087,3187,1309,693773,18702,306906,0,382981,59376
HOUSTON,2025,6,4362,1105,3257,476,2374,3101,109,549,1735,4063,3101,2154,320040,141770,887891,2304,640072,364870
CENTRAL AL,2025,12,964,964,0,0,0,875,0,205,0,387,362,76,141953,8257,133835,0,296147,0
PANAMA CITY,2026,1,650,650,0,0,0,335,0,163,0,356,165,41,32990,1814,9847,0,122104,20043
RENO,2026,2,405,405,0,0,0,277,0,133,0,252,157,49,18053,1982,33454,0,76456,0
DOTHAN,2026,5,868,848,20,0,0,478,1,224,0,332,154,51,61699,1614,22035,0,41903,16524
CANTONMENT,2026,2,1146,1134,12,0,0,723,0,385,2,661,384,231,96220,7388,19683,1,243471,0
SOUTH CA,2025,6,4158,3068,1090,2425,918,2256,129,866,270,3448,1925,765,703842,51501,395476,364,733436,1292
CANTONMENT,2025,12,858,855,3,0,0,530,0,285,0,411,221,144,71364,7203,22200,0,198669,0
TAMPA,2026,3,6558,6351,207,12,67,3855,35,2315,69,4421,2460,932,1363525,27041,669002,0,207813,145942
SOUTHWEST,2025,6,6108,4593,1515,2949,1234,3309,287,1243,374,5292,3099,1300,711223,26961,300606,0,470901,47007
MIAMI,2025,8,2066,2066,0,0,0,1251,0,866,0,1544,943,555,86268,32395,178299,2,283461,189647
RENO,2025,7,609,609,0,0,0,293,0,139,0,327,135,25,48455,1177,77572,0,106292,0
CANTONMENT,2025,6,1227,1219,8,0,0,780,0,395,1,622,321,182,108165,8903,34057,0,251436,0
DEMOPOLIS,2026,4,226,226,0,0,0,202,0,44,0,43,43,5,26088,2425,14087,0,6063,1098
SOUTH CA,2026,5,4131,2167,1964,1530,1709,2293,283,616,432,3476,2099,664,450861,50518,534010,0,437031,36366
RENO,2026,4,659,659,0,0,0,379,0,156,0,433,211,51,37319,1062,44995,0,108658,0
TAMPA,2025,12,5768,5566,202,12,69,3542,15,2150,80,4261,2403,1094,687242,25420,647885,0,251338,124904
TAMPA,2025,11,4926,4733,193,11,65,2632,5,1816,63,2995,1740,765,666541,23339,538875,0,235767,76093
DOTHAN,2025,10,1176,1143,33,0,0,550,0,211,0,428,148,39,60437,1149,9475,0,187284,2355
EAST TN,2025,12,1561,1561,0,0,0,1302,0,341,0,532,437,114,107644,4310,87871,0,275169,314
RENO,2025,12,424,424,0,0,0,225,0,106,0,279,131,28,23408,194,33274,0,74623,0
ORLANDO,2026,2,4630,4479,151,2,35,2788,6,1654,42,3297,1795,829,265359,35368,339217,1,391186,121880
PANAMA CITY,2025,12,667,667,0,0,0,314,0,195,0,318,143,43,24861,1534,9157,0,126974,24833
ATLANTA,2025,9,3242,3200,42,0,0,1942,3,1163,16,2048,1212,560,269217,32456,144202,1,428825,139494
SAN ANTONIO,2026,3,649,292,357,184,246,372,31,73,107,581,358,145,1267,1333,1026,0,17940,34267
PANAMA CITY,2025,6,702,702,0,0,0,297,0,231,0,315,135,56,32616,3363,12271,0,171440,29033
FOLEY,2025,8,763,763,0,0,0,381,0,283,0,218,99,22,112390,7190,59982,0,76020,0
EAST TN,2025,8,2379,2379,0,0,0,1969,0,428,0,590,444,104,159998,3942,89424,0,274622,1977
SOUTHWEST,2026,3,5955,3806,2149,2397,1825,3443,412,1059,508,5155,3262,1203,629157,29394,491882,0,385567,26462
JUPITER,2025,11,6635,6560,75,0,0,3692,17,2452,19,4690,2594,1247,370726,59073,393999,3,1849824,564469
SOUTHWEST,2025,8,6010,4104,1906,2837,1655,3441,274,1359,390,5185,3221,1434,670832,31667,309291,0,396089,37947
PANAMA CITY,2025,11,610,610,0,0,0,293,0,180,0,298,143,37,32236,2213,3254,0,98417,32922
