Market,Time Zone,Open,Close,Sat Open,Sat Close,Year,Month,NDay,Day,Hour,Order Management Interactions,Order Management HT (hr),Orders,Analog,Digital,Occur Int,Occur Ord
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,3,Wednesday,11:00:00.000,213,65.628085572,78,51,27,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,3,Wednesday,12:00:00.000,252,73.033502014,75,53,22,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,3,Wednesday,13:00:00.000,222,75.153944328,95,64,31,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,3,Wednesday,14:00:00.000,227,77.772654375,98,71,27,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,3,Wednesday,15:00:00.000,122,37.501022261,62,34,28,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,3,Wednesday,16:00:00.000,56,8.355381264,22,11,11,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,3,Wednesday,17:00:00.000,,,3,1,2,,3
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,3,Wednesday,18:00:00.000,,,1,0,1,,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,3,Wednesday,20:00:00.000,,,1,0,1,,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,3,Wednesday,21:00:00.000,,,1,0,1,,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,3,Wednesday,22:00:00.000,,,1,1,0,,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,4,Thursday,04:00:00.000,,,1,0,1,,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,4,Thursday,05:00:00.000,93,21.667477722,16,14,2,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,4,Thursday,06:00:00.000,124,25.914798792,19,16,3,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,4,Thursday,07:00:00.000,128,27.162054161,33,30,3,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,4,Thursday,08:00:00.000,178,46.914229281,47,39,8,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,4,Thursday,09:00:00.000,217,56.876919381,77,52,25,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,4,Thursday,10:00:00.000,232,60.622706767,94,71,23,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,4,Thursday,11:00:00.000,231,75.169032961,71,40,31,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,4,Thursday,12:00:00.000,229,51.557086436,56,43,13,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,4,Thursday,13:00:00.000,183,61.600595769,76,50,26,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,4,Thursday,14:00:00.000,170,50.257596289,57,50,7,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,4,Thursday,15:00:00.000,125,36.904273886,44,29,15,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,4,Thursday,16:00:00.000,58,13.431890861,24,12,12,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,4,Thursday,17:00:00.000,,,5,0,5,,3
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,4,Thursday,18:00:00.000,,,3,0,3,,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,4,Thursday,20:00:00.000,,,9,0,9,,1
SOUTH CA,,,,,,2025,9,5,Friday,00:00:00.000,1,0.02638888889,,,,1,
SOUTH CA,,,,,,2025,9,5,Friday,02:00:00.000,3,0.07083333333,,,,2,
