Market,Year,Month,Media Type,Handle Time (seconds),Interactions
JUPITER,2026,1,message,149636,510
JUPITER,2026,1,voice,3350106,17978
JUPITER,2026,2,callback,7897,13
JUPITER,2026,2,email,36372,1012
JUPITER,2026,2,message,153617,503
JUPITER,2026,2,voice,3176170,17197
JUPITER,2026,3,callback,215,2
JUPITER,2026,3,email,53108,1188
JUPITER,2026,3,message,139505,534
JUPITER,2026,3,voice,3608932,18983
JUPITER,2026,4,callback,349,4
JUPITER,2026,4,email,56210,944
JUPITER,2026,4,message,154953,581
JUPITER,2026,4,voice,3077883,17684
JUPITER,2026,5,callback,5,1
JUPITER,2026,5,email,39477,1061
JUPITER,2026,5,message,158240,563
JUPITER,2026,5,voice,2580488,13803
MIAMI,2025,6,email,28803,174
MIAMI,2025,6,message,109,1
MIAMI,2025,6,voice,967213,5831
MIAMI,2025,7,email,22406,231
MIAMI,2025,7,message,1630,8
MIAMI,2025,7,voice,881228,5992
MIAMI,2025,8,email,9146,155
MIAMI,2025,8,message,1491,9
MIAMI,2025,8,voice,759435,5149
MIAMI,2025,9,callback,1348,1
MIAMI,2025,9,email,10877,113
MIAMI,2025,9,message,467,9
MIAMI,2025,9,voice,698236,4700
MIAMI,2025,10,email,9734,110
MIAMI,2025,10,message,75,3
MIAMI,2025,10,voice,810611,5244
MIAMI,2025,11,callback,2189,1
MIAMI,2025,11,email,9519,98
MIAMI,2025,11,message,514,7
MIAMI,2025,11,voice,696301,4404
MIAMI,2025,12,email,5186,76
MIAMI,2025,12,message,690,5
MIAMI,2025,12,voice,694837,4453
MIAMI,2026,1,callback,1955,2
MIAMI,2026,1,email,7353,64
MIAMI,2026,1,message,841,6
MIAMI,2026,1,voice,752014,4290
MIAMI,2026,2,email,2989,44
MIAMI,2026,2,message,159,3
MIAMI,2026,2,voice,806655,4524
MIAMI,2026,3,callback,241,1
MIAMI,2026,3,email,5592,96
MIAMI,2026,3,message,1119,10
MIAMI,2026,3,voice,990180,5068
EAST TN,2025,11,voice,456094,4053
EAST TN,2025,12,callback,241,19
EAST TN,2025,12,voice,475066,4290
EAST TN,2026,1,callback,292,23
EAST TN,2026,1,voice,473519,4451
EAST TN,2026,2,callback,480,36
EAST TN,2026,2,voice,438737,4132
EAST TN,2026,3,callback,197,22
EAST TN,2026,3,voice,575753,5524
EAST TN,2026,4,callback,528,20
EAST TN,2026,4,voice,626755,5655
EAST TN,2026,5,callback,211,6
EAST TN,2026,5,voice,584630,5240
FOLEY,2025,6,callback,486,8
FOLEY,2025,6,voice,248890,1767
FOLEY,2025,7,callback,157,2
FOLEY,2025,7,voice,254984,1695
FOLEY,2025,8,callback,73,3
FOLEY,2025,8,voice,255508,1687
FOLEY,2025,9,callback,13,2
FOLEY,2025,9,voice,277099,1913
FOLEY,2025,10,callback,27,4
FOLEY,2025,10,voice,260050,1876
FOLEY,2025,11,callback,13,2
FOLEY,2025,11,voice,185443,1589
FOLEY,2025,12,callback,180,5
FOLEY,2025,12,voice,171704,1470
FOLEY,2026,1,callback,18,2
FOLEY,2026,1,voice,187008,1656
FOLEY,2026,2,callback,23,3
FOLEY,2026,2,voice,206833,1678
FOLEY,2026,3,callback,211,3
FOLEY,2026,3,voice,287468,2127
FOLEY,2026,4,callback,97,5
