Market,YEAR,MONTH,Media Type,Handle Time (seconds),Interactions
Jupiter,2025,10,callback,1788,5
Jupiter,2025,10,email,120203,1091
Jupiter,2025,10,message,165085,598
Jupiter,2025,10,voice,2010028,10718
Jupiter,2025,11,callback,111,1
Jupiter,2025,11,email,104491,949
Jupiter,2025,11,message,136812,435
Jupiter,2025,11,voice,1490113,8321
Jupiter,2025,12,callback,443,5
Jupiter,2025,12,email,109370,1245
Jupiter,2025,12,message,132142,481
Jupiter,2025,12,voice,1466856,8689
Jupiter,2026,1,callback,26,3
Jupiter,2026,1,email,115945,1208
Jupiter,2026,1,message,140604,449
Jupiter,2026,1,voice,1563142,8911
Jupiter,2026,2,callback,1260,4
Jupiter,2026,2,email,23605,879
Jupiter,2026,2,message,137568,438
Jupiter,2026,2,voice,1315384,8275
Jupiter,2026,3,callback,4,1
Jupiter,2026,3,email,34971,1017
Jupiter,2026,3,message,127091,490
Jupiter,2026,3,voice,1590477,9214
Jupiter,2026,4,email,26864,796
Jupiter,2026,4,message,131943,511
Jupiter,2026,4,voice,1334072,8607
Miami,2025,5,email,13225,167
Miami,2025,5,message,574,6
Miami,2025,5,voice,939754,6084
Miami,2025,6,email,28822,175
Miami,2025,6,message,109,1
Miami,2025,6,voice,973516,5905
Miami,2025,7,email,22446,234
Miami,2025,7,message,1832,9
Miami,2025,7,voice,887221,6053
Miami,2025,8,email,9178,156
Miami,2025,8,message,1491,9
Miami,2025,8,voice,768376,5242
Miami,2025,9,callback,1348,1
Miami,2025,9,email,10877,113
Miami,2025,9,message,467,9
Miami,2025,9,voice,703877,4763
Miami,2025,10,email,9744,111
Miami,2025,10,message,117,4
Miami,2025,10,voice,819040,5334
Miami,2025,11,callback,2189,1
Miami,2025,11,email,9519,98
Miami,2025,11,message,514,7
Miami,2025,11,voice,699822,4452
Miami,2025,12,email,5186,76
Miami,2025,12,message,690,5
Miami,2025,12,voice,698818,4502
Miami,2026,1,callback,1986,3
Miami,2026,1,email,7386,66
Miami,2026,1,message,841,6
Miami,2026,1,voice,757430,4340
Miami,2026,2,email,2989,44
Miami,2026,2,message,164,4
Miami,2026,2,voice,813598,4580
Miami,2026,3,callback,36,1
Miami,2026,3,email,5597,97
Miami,2026,3,message,1125,11
Miami,2026,3,voice,998653,5138
Miami,2026,4,email,3988,63
Miami,2026,4,message,4621,14
Miami,2026,4,voice,939654,5008
